key,matches,normalized_matches,intersection,chunk_length,score,label
Regulacion_armonizada,0,0.0,1,1198,0.0,0
Regulacion_armonizada,0,0.0,1,507,0.0,0
Regulacion_armonizada,0,0.0,1,1200,0.0,0
Regulacion_armonizada,0,0.0,1,1198,0.0,0
Regulacion_armonizada,0,0.0,1,349,0.0,0
Regulacion_armonizada,0,0.0,1,1133,0.0,0
Regulacion_armonizada,0,0.0,1,992,0.0,0
Regulacion_armonizada,0,0.0,1,1197,0.0,0
Regulacion_armonizada,0,0.0,1,1199,0.0,0
Regulacion_armonizada,0,0.0,1,572,0.0,0
Regulacion_armonizada,0,0.0,1,1190,0.0,0
Regulacion_armonizada,0,0.0,1,606,0.0,0
Regulacion_armonizada,0,0.0,1,1192,0.0,0
Regulacion_armonizada,0,0.0,1,1065,0.0,0
Regulacion_armonizada,0,0.0,1,1195,0.0,0
Regulacion_armonizada,0,0.0,1,943,0.0,0
Regulacion_armonizada,0,0.0,1,376,0.0,0
Regulacion_armonizada,0,0.0,1,1200,0.0,0
Regulacion_armonizada,0,0.0,1,1344,0.0,0
Regulacion_armonizada,0,0.0,1,1549,0.0,0
Regulacion_armonizada,0,0.0,1,620,0.0,0
Regulacion_armonizada,0,0.0,1,1193,0.0,0
Regulacion_armonizada,0,0.0,1,823,0.0,0
Regulacion_armonizada,0,0.0,1,1083,0.0,0
Regulacion_armonizada,0,0.0,1,1198,0.0,0
Regulacion_armonizada,0,0.0,1,816,0.0,0
Regulacion_armonizada,0,0.0,1,1198,0.0,0
Regulacion_armonizada,0,0.0,1,1302,0.0,0
Regulacion_armonizada,0,0.0,1,336,0.0,0
Regulacion_armonizada,0,0.0,1,1199,0.0,0
Regulacion_armonizada,0,0.0,1,1186,0.0,0
Regulacion_armonizada,0,0.0,1,356,0.0,0
Regulacion_armonizada,0,0.0,1,1200,0.0,0
Regulacion_armonizada,0,0.0,1,718,0.0,0
Regulacion_armonizada,0,0.0,1,1199,0.0,0
Regulacion_armonizada,0,0.0,1,1195,0.0,0
Regulacion_armonizada,0,0.0,1,372,0.0,0
Regulacion_armonizada,0,0.0,1,192,0.0,0
Regulacion_armonizada,0,0.0,1,1200,0.0,0
Regulacion_armonizada,0,0.0,1,772,0.0,0
Regulacion_armonizada,0,0.0,1,1198,0.0,0
Regulacion_armonizada,0,0.0,1,598,0.0,0
Sometido_recurso_especial,0,0.0,1,416,0.0,0
Sometido_recurso_especial,0,0.0,1,1194,0.0,0
Sometido_recurso_especial,0,0.0,1,326,0.0,0
Sometido_recurso_especial,0,0.0,1,350,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1265,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,875,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,877,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,1195,0.0,0
Sometido_recurso_especial,0,0.0,1,1069,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,908,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,735,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,1191,0.0,0
Sometido_recurso_especial,0,0.0,1,574,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,812,0.0,0
Sometido_recurso_especial,0,0.0,1,1189,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,640,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,554,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,620,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1189,0.0,0
Sometido_recurso_especial,0,0.0,1,1320,0.0,0
Sometido_recurso_especial,0,0.0,1,1194,0.0,0
Sometido_recurso_especial,0,0.0,1,1193,0.0,0
Sometido_recurso_especial,0,0.0,1,432,0.0,0
Sometido_recurso_especial,1,0.5,1,1196,0.825,0
Sometido_recurso_especial,0,0.0,1,1044,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1192,0.0,0
Sometido_recurso_especial,0,0.0,1,837,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,589,0.0,0
Sometido_recurso_especial,0,0.0,1,1191,0.0,0
Sometido_recurso_especial,0,0.0,1,1194,0.0,0
Sometido_recurso_especial,0,0.0,1,1021,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1231,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,856,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,510,0.0,0
Sometido_recurso_especial,0,0.0,1,1134,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,809,0.0,0
Sometido_recurso_especial,0,0.0,1,1194,0.0,0
Sometido_recurso_especial,0,0.0,1,433,0.0,0
Sometido_recurso_especial,0,0.0,1,268,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,435,0.0,0
Sometido_recurso_especial,0,0.0,1,1193,0.0,0
Sometido_recurso_especial,0,0.0,1,992,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,746,0.0,0
Sometido_recurso_especial,0,0.0,1,860,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,445,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,987,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,1241,0.0,0
Sometido_recurso_especial,0,0.0,1,1190,0.0,0
Sometido_recurso_especial,0,0.0,1,1349,0.0,0
Sometido_recurso_especial,0,0.0,1,1189,0.0,0
Sometido_recurso_especial,0,0.0,1,843,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1193,0.0,0
Sometido_recurso_especial,0,0.0,1,354,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,356,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1162,0.0,0
Sometido_recurso_especial,0,0.0,1,1190,0.0,0
Sometido_recurso_especial,0,0.0,1,1161,0.0,0
Sometido_recurso_especial,0,0.0,1,1196,0.0,0
Sometido_recurso_especial,0,0.0,1,1185,0.0,0
Sometido_recurso_especial,0,0.0,1,1195,0.0,0
Sometido_recurso_especial,0,0.0,1,1347,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,1232,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,507,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,349,0.0,0
Sometido_recurso_especial,0,0.0,1,1133,0.0,0
Sometido_recurso_especial,0,0.0,1,992,0.0,0
Sometido_recurso_especial,0,0.0,1,1197,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,572,0.0,0
Sometido_recurso_especial,0,0.0,1,1190,0.0,0
Sometido_recurso_especial,0,0.0,1,606,0.0,0
Sometido_recurso_especial,0,0.0,1,1192,0.0,0
Sometido_recurso_especial,0,0.0,1,1065,0.0,0
Sometido_recurso_especial,0,0.0,1,1195,0.0,0
Sometido_recurso_especial,0,0.0,1,943,0.0,0
Sometido_recurso_especial,0,0.0,1,376,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,1344,0.0,0
Sometido_recurso_especial,0,0.0,1,1549,0.0,0
Sometido_recurso_especial,0,0.0,1,620,0.0,0
Sometido_recurso_especial,0,0.0,1,1193,0.0,0
Sometido_recurso_especial,0,0.0,1,823,0.0,0
Sometido_recurso_especial,0,0.0,1,1083,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,816,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,1302,0.0,0
Sometido_recurso_especial,0,0.0,1,336,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1186,0.0,0
Sometido_recurso_especial,0,0.0,1,356,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,718,0.0,0
Sometido_recurso_especial,0,0.0,1,1199,0.0,0
Sometido_recurso_especial,0,0.0,1,1195,0.0,0
Sometido_recurso_especial,0,0.0,1,372,0.0,0
Sometido_recurso_especial,0,0.0,1,192,0.0,0
Sometido_recurso_especial,0,0.0,1,1200,0.0,0
Sometido_recurso_especial,0,0.0,1,772,0.0,0
Sometido_recurso_especial,0,0.0,1,1198,0.0,0
Sometido_recurso_especial,0,0.0,1,598,0.0,0
Plazo_ejecución,0,0.0,0,416,0.0,0
Plazo_ejecución,0,0.0,0,1194,0.0,0
Plazo_ejecución,0,0.0,0,326,0.0,0
Plazo_ejecución,0,0.0,0,350,0.0,0
Plazo_ejecución,0,0.0,0,1200,0.0,0
Plazo_ejecución,0,0.0,0,1265,0.0,0
Plazo_ejecución,0,0.0,0,1199,0.0,0
Plazo_ejecución,0,0.0,0,875,0.0,0
Plazo_ejecución,0,0.0,0,1199,0.0,0
